,title,feed_type,link,description,date,image,publisher,stocks,_id,target,combined,Aspects1,Aspects2
14,ONGC Videsh secures 3-year extension to explore South China Sea,news-article,https://www.thehindubusinessline.com/companies/ongc-videsh-secures-3-year-extension-to-explore-south-china-sea/article67213744.ece,"ONGC Videsh, India’s top oil explorer’s overseas investment arm, secures 3-yr extension from Vietnam to explore Block 128 in South China Sea. India’s strategic commitment remains strong as it continues exploration journey till 2026. China claims almost entire sea and has increased military presence.…",2023-08-19 20:34:35.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/incoming/2xbhr7/article67213771.ece/alternates/LANDSCAPE_1200/ongc%20videsh.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'ONGC'}],64e0d8a3fe5e5e5b7f9765b3,ONGC,"ONGC Videsh secures 3-year extension to explore South China Sea ONGC Videsh, India’s top oil explorer’s overseas investment arm, secures 3-yr extension from Vietnam to explore Block 128 in South China Sea. India’s strategic commitment remains strong as it continues exploration journey till 2026. China claims almost entire sea and has increased military presence.…",Strategy,
15,Buy Oil and Natural Gas Corporation; target of Rs 220: ICICI Securities,news-article,https://www.moneycontrol.com/news/business/stocks/buy-oil-and-natural-gas-corporation-target-of-rs-220-icici-securities-11209151.html,"ICICI Securities is bullish on Oil and Natural Gas Corporation recommended buy rating on the stock with a target price of Rs 220 in its research report dated August 13, 2023.",2023-08-18 11:34:56.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2022/12/Buy_4-1-378x213.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'ICCI'}, {'sid': 'ONGC'}]",64df0d9efe5e5e5b7f975c77,ONGC,"Buy Oil and Natural Gas Corporation; target of Rs 220: ICICI Securities ICICI Securities is bullish on Oil and Natural Gas Corporation recommended buy rating on the stock with a target price of Rs 220 in its research report dated August 13, 2023.",Price Action,
16,"Stocks to Watch: Concord Biotech, ACC, Nykaa, Adani Group, Maruti, ONGC, and Others - News18",news-article,https://www.news18.com/business/markets/stocks-to-watch-concord-biotech-acc-nykaa-adani-group-maruti-ongc-and-others-8540418.html,"Stocks to watch: Shares of firms like Concord Biotech, ACC, Nykaa, Adani Group, Maruti, ONGC, and others will be in focus on Friday’s trade.",2023-08-18 08:49:09.000,https://pocket-image-cache.com/direct?url=http://images.news18.com/ibnlive/uploads/2023/06/news18-bl-zb-85-168693220316x9.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/news18.png', 'id': 'www.news18.com', 'name': 'News18'}","[{'sid': 'ACC'}, {'sid': 'ONGC'}, {'sid': 'NYK'}]",64dee955fe5e5e5b7f975b5b,ONGC,"Stocks to Watch: Concord Biotech, ACC, Nykaa, Adani Group, Maruti, ONGC, and Others - News18 Stocks to watch: Shares of firms like Concord Biotech, ACC, Nykaa, Adani Group, Maruti, ONGC, and others will be in focus on Friday’s trade.",Rumors,
17,ONGC investing ₹1 lakh cr. to transform into low-carbon energy player,news-article,https://www.thehindu.com/business/ongc-investing-1-lakh-cr-to-transform-into-low-carbon-energy-player/article67206397.ece,India’s largest crude oil and natural gas producer said it had detailed a roadmap to scale up its low-carbon energy portfolio significantly.,2023-08-17 20:45:55.000,https://www.thehindu.com/theme/images/og-image.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindu.png', 'id': 'www.thehindu.com', 'name': 'The Hindu'}",[{'sid': 'ONGC'}],64de3827fe5e5e5b7f9758be,ONGC,ONGC investing ₹1 lakh cr. to transform into low-carbon energy player India’s largest crude oil and natural gas producer said it had detailed a roadmap to scale up its low-carbon energy portfolio significantly.,Strategy,
18,"Indian Oil, BPCL To ONGC: Here’s How The Oil & Gas Sector Fared In Q1",news-article,https://www.bqprime.com/business/indian-oil-bpcl-to-ongc-heres-how-the-oil-gas-sector-fared-in-q1,"The sector observed triple digit net profit and Ebitda growth this quarter, while revenues fell by double digits.",2023-08-17 14:21:45.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2023-08%2F9ae8a43e-0a34-40af-87b8-f1bd02b7a3fe%2Frobin_sommer_wnOJ83k8r4w_unsplash.jpg?w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}","[{'sid': 'BPCL'}, {'sid': 'ONGC'}, {'sid': '.NIFOILGAS'}]",64dde4ecfe5e5e5b7f9755a1,ONGC,"Indian Oil, BPCL To ONGC: Here’s How The Oil & Gas Sector Fared In Q1 The sector observed triple digit net profit and Ebitda growth this quarter, while revenues fell by double digits.",Financial,Price Action
19,"Results Review for ITC, ONGC, Crompton Consumer, TTK Prestige, Galaxy Surfactants",news-article,https://in.investing.com/analysis/results-review-for-itc-ongc-crompton-consumer-ttk-prestige-galaxy-surfactants-200594649,"Results Review for ITC, ONGC, Crompton Consumer, TTK Prestige, Galaxy Surfactants",2023-08-16 17:24:00.000,https://pocket-image-cache.com/direct?url=http://i-invdn-com.investing.com/redesign/images/seo/investingcom_analysis_og.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/investing-com.png', 'id': 'in.investing.com', 'name': 'Investing.com'}","[{'sid': 'CROP'}, {'sid': 'GALX'}, {'sid': 'ITC'}, {'sid': 'ONGC'}, {'sid': 'TTKL'}]",64dcc170fe5e5e5b7f974f2f,ONGC,"Results Review for ITC, ONGC, Crompton Consumer, TTK Prestige, Galaxy Surfactants Results Review for ITC, ONGC, Crompton Consumer, TTK Prestige, Galaxy Surfactants",Risks,Sales
20,"Cloud For Growth, Transformation Is Thrice As Important As For Cost Optimisation: Infosys",news-article,https://www.bqprime.com/technology/cloud-for-growth-transformation-is-thrice-as-important-as-for-cost-optimisation-infosys,"While 67% of companies increased cloud spending this year, 80% forecast higher spending next year.",2023-09-09 04:07:42.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2023-09%2F30a156af-02bd-448a-81c2-df1f766f6c2a%2Fsaas_concept_collage.jpg?w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}",[{'sid': 'INFY'}],64fba93641042058c3af8318,INFOSYS,"Cloud For Growth, Transformation Is Thrice As Important As For Cost Optimisation: Infosys While 67% of companies increased cloud spending this year, 80% forecast higher spending next year.",Financial,Price Action
21,"Sensex, Nifty tumble on weak global cues, foreign fund outflows",news-article,https://www.thehindu.com/business/markets/sensex-nifty-tumble-on-weak-global-cues-foreign-fund-outflows/article67279909.ece,"Mumbai equity indices fall in initial trade; BSE Sensex down 187 points, Nifty 55 points. Major laggards: M&M, Bajaj Fin, Nestle, UltraTech, JSW Steel, HUL, Infosys, Power Grid. Maruti, SBI, L&T, Airtel gainers. Global markets, Brent crude down.",2023-09-07 10:58:56.000,https://pocket-image-cache.com/direct?url=http://th-i.thgim.com/public/incoming/c030ub/article66039961.ece/alternates/LANDSCAPE_1200/IMG_vbk-stock-sensex-2_2_1_V6AB6NN1.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindu.png', 'id': 'www.thehindu.com', 'name': 'The Hindu'}","[{'sid': 'BRTI'}, {'sid': 'BSEL'}, {'sid': 'IDTI'}, {'sid': 'HLL'}, {'sid': 'INFY'}, {'sid': 'JSTL'}, {'sid': 'LART'}, {'sid': 'MAHM'}, {'sid': 'MIRA'}, {'sid': 'NEST'}, {'sid': 'SBI'}, {'sid': 'ULTC'}, {'sid': '.NSEI'}]",64f9626f41042058c3af7f46,INFOSYS,"Sensex, Nifty tumble on weak global cues, foreign fund outflows Mumbai equity indices fall in initial trade; BSE Sensex down 187 points, Nifty 55 points. Major laggards: M&M, Bajaj Fin, Nestle, UltraTech, JSW Steel, HUL, Infosys, Power Grid. Maruti, SBI, L&T, Airtel gainers. Global markets, Brent crude down.",Volatility,Financial
22,Building digital public goods is the next big opportunity for India after UPI: Infosys’ Kris Gopalakrishnan,news-article,https://www.businesstoday.in/technology/news/story/building-digital-public-goods-is-the-next-big-opportunity-for-india-after-upi-infosys-kris-gopalakrishnan-397127-2023-09-06?utm_source=rssfeed,"Says this is a transformation that the industry will move towards, and that is why government and regulators have to be a part of this journey",2023-09-06 17:30:00.000,https://pocket-image-cache.com/direct?url=http://akm-img-a-in.tosshub.com/businesstoday/images/story/202309/kris_01-sixteen_nine.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/businesstoday.png', 'id': 'www.businesstoday.in', 'name': 'Business Today'}",[{'sid': 'INFY'}],64f8446ab5046bd854996435,INFOSYS,"Building digital public goods is the next big opportunity for India after UPI: Infosys’ Kris Gopalakrishnan Says this is a transformation that the industry will move towards, and that is why government and regulators have to be a part of this journey",Strategy,
23,"Markets log gains for 3rd day on buying in Reliance, Infosys",news-article,https://www.thehindu.com/business/markets/markets-log-gains-for-3rd-day-on-buying-in-reliance-infosys/article67274038.ece,Equity benchmark indices Sensex and Nifty closed higher for the third straight day.,2023-09-05 19:33:04.000,https://pocket-image-cache.com/direct?url=http://th-i.thgim.com/public/incoming/ti6u2c/article67274065.ece/alternates/LANDSCAPE_1200/PTI9_5_2023_001010012B.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindu.png', 'id': 'www.thehindu.com', 'name': 'The Hindu'}","[{'sid': 'IDTI'}, {'sid': 'INFY'}, {'sid': 'MIRA'}, {'sid': '.NSEI'}]",64f73898b5046bd854996279,INFOSYS,"Markets log gains for 3rd day on buying in Reliance, Infosys Equity benchmark indices Sensex and Nifty closed higher for the third straight day.",Price Action,
24,"Stock Market Today: Sensex, Nifty Advance For A Third Day Led By Infosys, ITC; Media Stocks Gain",news-article,https://www.bqprime.com/markets/stock-market-live-updates-5-september-2023-gift-nifty-signals-cautious-open-hero-moto-cipla-mm-yes-bank-tata-power-in-focus,"Sensex was closed 152 points, or 0.23%, at 65,780.26, while Nifty was 46 points, or 0.24%, higher at 19,574.90.",2023-09-05 17:13:41.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2023-09%2F265bce8a-a06d-4f00-a146-9b2721886d4b%2FNSE_reuters.jpg?w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}","[{'sid': 'IDTI'}, {'sid': 'ITC'}, {'sid': 'INFY'}, {'sid': 'MIRA'}, {'sid': '.NSEI'}, {'sid': '.NIFTYMED'}]",64f69606b5046bd854996096,INFOSYS,"Stock Market Today: Sensex, Nifty Advance For A Third Day Led By Infosys, ITC; Media Stocks Gain Sensex was closed 152 points, or 0.23%, at 65,780.26, while Nifty was 46 points, or 0.24%, higher at 19,574.90.",Price Action,Technical Analysis
25,"Stock Market Today: Sensex, Nifty Log Two-Day Gains As Infosys, HDFC Bank; Lead; Metals Rise",news-article,https://www.bqprime.com/markets/stock-market-live-updates-4-september-2023-gift-nifty-signals-cautious-open-bel-kotak-bank-ongc-lupin-hindalco-in-focus,"Sensex closed up 241 points, or 0.37%, at 65,628.14, while Nifty was 94 points, or 0.48%, higher at 19,528.80.",2023-09-04 17:42:29.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2019-05%2F12665e5d-f198-466d-9795-953e10e539fc%2FNSE_SEBI.jpeg?rect=426%2C0%2C3598%2C1889&w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}","[{'sid': 'IDTI'}, {'sid': 'HDBK'}, {'sid': 'INFY'}, {'sid': 'MIRA'}, {'sid': '.NSEI'}]",64f54b94bab5bedfbfadf32e,INFOSYS,"Stock Market Today: Sensex, Nifty Log Two-Day Gains As Infosys, HDFC Bank; Lead; Metals Rise Sensex closed up 241 points, or 0.37%, at 65,628.14, while Nifty was 94 points, or 0.48%, higher at 19,528.80.",Price Action,Options
